iter	Passed	Remaining
0	31	17301
1	56	15422
2	68	12437
3	90	12368
4	112	12233
5	134	12151
6	153	11937
7	174	11842
8	195	11778
9	210	11385
10	231	11324
11	252	11305
12	274	11348
13	299	11459
14	322	11492
15	345	11521
16	365	11471
17	388	11496
18	413	11550
19	436	11575
20	456	11501
21	477	11453
22	498	11424
23	525	11507
24	546	11475
25	569	11472
26	590	11432
27	612	11421
28	634	11391
29	656	11381
30	677	11336
31	698	11302
32	718	11250
33	738	11204
34	760	11188
35	780	11147
36	801	11108
37	822	11087
38	843	11056
39	864	11025
40	884	10981
41	904	10944
42	925	10914
43	944	10866
44	965	10840
45	986	10806
46	1005	10763
47	1027	10742
48	1050	10738
49	1075	10752
50	1097	10735
51	1119	10719
52	1143	10727
53	1166	10712
54	1187	10691
55	1210	10675
56	1232	10659
57	1253	10636
58	1272	10586
59	1290	10537
60	1310	10502
61	1329	10465
62	1347	10415
63	1366	10375
64	1384	10331
65	1403	10289
66	1420	10237
67	1439	10202
68	1461	10188
69	1487	10198
70	1508	10174
71	1528	10148
72	1548	10120
73	1566	10075
74	1584	10034
75	1602	9994
76	1622	9964
77	1640	9925
78	1660	9898
79	1681	9877
80	1701	9853
81	1721	9827
82	1742	9803
83	1761	9769
84	1779	9732
85	1797	9695
86	1815	9662
87	1833	9625
88	1853	9598
89	1871	9565
90	1891	9540
91	1910	9509
92	1929	9480
93	1948	9450
94	1967	9421
95	1986	9395
96	2006	9370
97	2027	9349
98	2045	9319
99	2069	9311
100	2091	9296
101	2112	9277
102	2132	9252
103	2153	9235
104	2175	9221
105	2197	9202
106	2217	9180
107	2236	9151
108	2253	9117
109	2272	9088
110	2290	9058
111	2308	9029
112	2326	8997
113	2344	8968
114	2361	8932
115	2379	8902
116	2397	8873
117	2416	8845
118	2434	8816
119	2453	8791
120	2470	8760
121	2489	8733
122	2507	8705
123	2525	8675
124	2542	8645
125	2561	8619
126	2582	8600
127	2600	8574
128	2619	8550
129	2638	8523
130	2656	8497
131	2673	8467
132	2693	8445
133	2712	8419
134	2729	8389
135	2747	8363
136	2766	8340
137	2786	8318
138	2804	8293
139	2821	8264
140	2840	8240
141	2858	8212
142	2876	8187
143	2891	8153
144	2910	8129
145	2928	8104
146	2951	8090
147	2971	8071
148	2991	8051
149	3001	8004
150	3019	7979
151	3039	7959
152	3060	7940
153	3079	7918
154	3099	7898
155	3119	7878
156	3139	7858
157	3158	7835
158	3178	7815
159	3198	7796
160	3218	7776
161	3238	7757
162	3259	7739
163	3280	7722
164	3301	7702
165	3322	7684
166	3342	7666
167	3363	7648
168	3385	7632
169	3410	7623
170	3435	7614
171	3463	7610
172	3485	7595
173	3506	7577
174	3529	7562
175	3552	7549
176	3571	7526
177	3589	7502
178	3608	7479
179	3626	7454
180	3646	7434
181	3666	7413
182	3685	7391
183	3702	7365
184	3720	7340
185	3738	7316
186	3756	7292
187	3776	7272
188	3798	7255
189	3820	7238
190	3839	7217
191	3859	7196
192	3879	7176
193	3898	7153
194	3917	7131
195	3939	7115
196	3960	7096
197	3979	7074
198	3998	7052
199	4018	7032
200	4038	7011
201	4060	6995
202	4081	6976
203	4101	6956
204	4121	6936
205	4141	6916
206	4159	6891
207	4178	6869
208	4198	6850
209	4219	6830
210	4236	6806
211	4256	6785
212	4275	6765
213	4295	6744
214	4314	6722
215	4334	6702
216	4354	6681
217	4372	6659
218	4391	6637
219	4411	6616
220	4429	6594
221	4447	6571
222	4467	6550
223	4486	6529
224	4506	6509
225	4526	6488
226	4546	6469
227	4566	6448
228	4583	6425
229	4606	6408
230	4629	6392
231	4652	6376
232	4677	6364
233	4699	6346
234	4719	6325
235	4740	6306
236	4762	6289
237	4781	6268
238	4800	6247
239	4820	6226
240	4840	6206
241	4863	6189
242	4882	6168
243	4903	6149
244	4923	6129
245	4943	6109
246	4965	6091
247	4985	6071
248	5005	6050
249	5026	6031
250	5047	6012
251	5066	5991
252	5085	5970
253	5105	5949
254	5124	5928
255	5144	5907
256	5164	5888
257	5183	5866
258	5201	5844
259	5220	5822
260	5237	5799
261	5255	5776
262	5276	5757
263	5294	5736
264	5313	5714
265	5331	5692
266	5350	5671
267	5371	5651
268	5390	5630
